County,Year,SFunits,MFunits,TOTALunits,SF_Share,MF_Share,VeryLowunits,Lowunits,Moderateunits,AboveModerateunits,VeryLow_Share,Low_Share,Moderate_Share,AboveModerate_Share,Affordableunits,Affordableunits_Share,Source
Sonoma County,1995,1605,322,1927,0.8329,0.1671,,,,,,,,,,,CIRB
Alameda County,1996,3102,796,3898,0.7958,0.2042,,,,,,,,,,,CIRB
Contra Costa County,1996,3137,415,3552,0.8832,0.1168,,,,,,,,,,,CIRB
Marin County,1996,348,394,742,0.469,0.531,,,,,,,,,,,CIRB
Napa County,1996,228,4,232,0.9828,0.0172,,,,,,,,,,,CIRB
San Francisco County,1996,201,1277,1478,0.136,0.864,,,,,,,,,,,CIRB
San Mateo County,1996,673,432,1105,0.609,0.391,,,,,,,,,,,CIRB
Santa Clara County,1996,4042,3459,7501,0.5389,0.4611,,,,,,,,,,,CIRB
Solano County,1996,1180,557,1737,0.6793,0.3207,,,,,,,,,,,CIRB
Sonoma County,1996,1389,75,1464,0.9488,0.0512,,,,,,,,,,,CIRB
Alameda County,1997,4189,2311,6500,0.6445,0.3555,,,,,,,,,,,CIRB
Contra Costa County,1997,3093,421,3514,0.8802,0.1198,,,,,,,,,,,CIRB
Marin County,1997,420,178,598,0.7023,0.2977,,,,,,,,,,,CIRB
Napa County,1997,350,0,350,1,0,,,,,,,,,,,CIRB
San Francisco County,1997,210,1511,1721,0.122,0.878,,,,,,,,,,,CIRB
San Mateo County,1997,922,597,1519,0.607,0.393,,,,,,,,,,,CIRB
Santa Clara County,1997,4367,4443,8810,0.4957,0.5043,,,,,,,,,,,CIRB
Solano County,1997,1456,86,1542,0.9442,0.0558,,,,,,,,,,,CIRB
Sonoma County,1997,1783,338,2121,0.8406,0.1594,,,,,,,,,,,CIRB
Alameda County,1998,3774,2123,5897,0.64,0.36,,,,,,,,,,,CIRB
Contra Costa County,1998,3143,1106,4249,0.7397,0.2603,,,,,,,,,,,CIRB
Marin County,1998,604,109,713,0.8471,0.1529,,,,,,,,,,,CIRB
Napa County,1998,455,28,483,0.942,0.058,,,,,,,,,,,CIRB
San Francisco County,1998,184,2152,2336,0.0788,0.9212,,,,,,,,,,,CIRB
San Mateo County,1998,988,1187,2175,0.4543,0.5457,,,,,,,,,,,CIRB
